Fecha,Importados,Contacto estrecho / Conglomerado,Transmisión Comunitaria,En estudio,Total Positivos
2020-03-03,1,0,0,0,1
2020-03-04,1,0,0,0,1
2020-03-05,1,0,0,0,1
2020-03-06,3,0,0,0,3
2020-03-07,9,0,0,0,9
2020-03-08,12,0,0,0,12
2020-03-09,17,0,0,0,17
2020-03-10,19,0,0,0,19
2020-03-11,21,0,0,0,21
2020-03-12,28,3,0,0,31
2020-03-13,30,4,0,0,34
2020-03-14,40,5,0,0,45
2020-03-15,48,8,0,0,56
2020-03-16,56,9,0,0,65
2020-03-17,67,11,0,0,78
2020-03-18,80,16,0,1,97
2020-03-19,100,22,0,6,128
2020-03-20,122,26,0,10,158
2020-03-21,167,38,0,20,225
2020-03-22,189,59,1,16,265
2020-03-23,206,64,1,30,301
2020-03-24,247,84,1,53,385
2020-03-25,250,102,1,149,502
2020-03-26,287,126,1,175,589
2020-03-27,387,167,1,135,690
2020-03-28,408,185,1,151,745
2020-03-29,442,207,1,170,820
2020-03-30,489,207,1,269,966
2020-03-31,529,295,1,229,1054
2020-04-01,580,349,1,203,1133
2020-04-02,622,398,103,142,1265
2020-04-03,656,444,113,140,1353
2020-04-04,674,490,119,168,1451
2020-04-05,695,536,148,175,1554
2020-04-06,718,563,175,172,1628
2020-04-07,738,588,205,184,1715
2020-04-08,767,618,224,186,1795
2020-04-09,785,641,261,207,1894
2020-04-10,789,672,290,224,1975
2020-04-11,816,712,304,310,2142
2020-04-12,821,766,318,303,2208
2020-04-13,830,790,354,303,2277
2020-04-14,833,857,393,360,2443
2020-04-15,840,903,425,403,2571
2020-04-16,845,951,448,425,2669
2020-04-17,851,997,474,436,2758
2020-04-18,856,1184,496,303,2839
2020-04-19,858,1235,538,310,2941
2020-04-20,863,1293,577,298,3031
2020-04-21,866,1346,618,314,3144
2020-04-22,870,1408,669,341,3288
2020-04-23,875,1490,722,348,3435
2020-04-24,887,1562,755,403,3607
2020-04-25,888,1641,797,454,3780
2020-04-26,900,1684,829,479,3892
2020-04-27,905,1725,897,476,4003
2020-04-28,909,1766,984,468,4127
2020-04-29,912,1835,1041,497,4285
2020-04-30,915,1904,1149,459,4427
2020-05-01,916,1949,1224,442,4531
2020-05-02,917,2012,1267,483,4679
2020-05-03,920,2076,1314,472,4782
2020-05-04,925,2137,1377,447,4886
2020-05-05,927,2207,1445,441,5020
2020-05-06,928,2291,1508,481,5208
2020-05-07,929,2372,1597,473,5371
2020-05-08,930,2468,1646,567,5611
2020-05-09,930,2530,1703,613,5776
2020-05-10,930,2668,1765,671,6034
2020-05-11,932,2802,1835,709,6278
2020-05-12,932,2974,1926,731,6563
2020-05-13,934,3109,2039,796,6878
2020-05-14,935,3226,2169,803,7133
2020-05-15,937,3367,2272,902,7478
2020-05-16,937,3482,2372,1014,7805
2020-05-17,939,3561,2468,1100,8068
2020-05-18,939,3718,2607,1107,8371
2020-05-19,940,3879,2758,1232,8809
2020-05-20,945,4068,2919,1351,9283
2020-05-21,947,4334,3154,1496,9931
