Municipio,Latitud,Longitud
25 de Mayo,-35.5496130389241,-60.2772930137602
9 de Julio,-35.5164453855071,-60.9274197423474
Adolfo Alsina,-37.1728770179204,-62.95643017213
Adolfo Gonzales Chaves,-37.9376840849475,-60.2922823725122
Alberti,-35.0267347379974,-60.2845190578018
Almirante Brown,-34.8296798559318,-58.3782925829108
Arrecifes,-34.0043905973796,-60.0155386871691
Avellaneda,-34.6794498963372,-58.3360995835959
Ayacucho,-36.9797242127273,-58.5903091184093
Azul,-36.8392494453142,-59.681346472969
Bahía Blanca,-38.5893309226696,-62.1898079570965
Balcarce,-37.7464823181907,-58.1903142843579
Baradero,-33.900985560256,-59.4417927619052
Benito Juárez,-37.5416232823799,-59.8905444377437
Berazategui,-34.851141278731,-58.1433722152298
Berisso,-34.8940641243294,-57.8530488905043
Bolívar,-36.2910076447157,-61.1521107104119
Bragado,-35.0325878533063,-60.6020608103564
Brandsen,-35.196475081955,-58.2416582440078
Campana,-34.160473672283,-58.8885272002106
Cañuelas,-35.1613563901017,-58.719385521298
Capitán Sarmiento,-34.1370612110475,-59.8475553441021
Carlos Casares,-35.7232554597542,-61.307702190653
Carlos Tejedor,-35.3954810024569,-62.4300034984343
Carmen de Areco,-34.4121576305649,-59.9120369242198
Castelli,-36.0217643405072,-57.6507590900504
Chacabuco,-34.6345760123024,-60.3306060371937
Chascomús,-35.5925358845226,-57.87434255371
Chivilcoy,-34.9057703549472,-59.9824152110713
Colón,-33.8463564840398,-61.0343052736988
Coronel de Marina Leonardo Rosales,-38.8156513812797,-61.9307853943902
Coronel Dorrego,-38.6361558451406,-61.152383706094
Coronel Pringles,-38.1679066204302,-61.2409383054573
Coronel Suárez,-37.5747909357969,-61.8774033637149
Daireaux,-36.6148800251404,-61.9448121725336
Dolores,-36.4256292968199,-57.5992336827873
Ensenada,-34.8433371249858,-57.9748959632923
Escobar,-34.3419202468584,-58.7781402586618
Esteban Echeverría,-34.8218757021866,-58.4741140673364
Exaltación de la Cruz,-34.3146057087502,-59.1255424305913
Ezeiza,-34.8706516630939,-58.572005769018
Florencio Varela,-34.8882110090206,-58.2533697587709
Florentino Ameghino,-34.8726027015302,-62.4171460452304
General Alvarado,-38.1991232354109,-58.060070616115
General Alvear,-36.0412747248701,-60.1054452651486
General Arenales,-34.2346131328622,-61.287989149506
General Belgrano,-35.8559260734222,-58.6086871509628
General Guido,-36.6656070244841,-57.9601544781869
General Juan Madariaga,-37.1533666335575,-57.2742161456968
General La Madrid,-37.4109037071482,-61.2756452130322
General Las Heras,-34.9096724318198,-58.9966369027777
General Lavalle,-36.6831663704107,-57.0074538649813
General Paz,-35.4579142324183,-58.3569989197052
General Pinto,-34.7126175497541,-61.9781046459584
General Pueyrredón,-37.9669496614919,-57.7852014342117
General Rodríguez,-34.6423801660476,-58.9969917971645
General San Martín,-34.5428772057966,-58.5770334394971
General Viamonte,-34.983811892399,-61.0625235195376
General Villegas,-34.771148702843,-62.9999853923234
Guaminí,-36.8880254062215,-62.4572965667495
Hipólito Yrigoyen,-36.2793014140979,-61.6925147630324
Hurlingham,-34.5994573204491,-58.6527442420061
Ituzaingó,-34.6404291276113,-58.690271037347
José C. Paz,-34.505807475507,-58.7781402586618
Junín,-34.5662896670321,-60.9965387797337
La Costa,-36.6578028707389,-56.6925442457952
La Matanza,-34.771148702843,-58.6338165413789
La Plata,-35.0267347379974,-57.9809928668597
Lanús,-34.7009113191364,-58.4019522086949
Laprida,-37.522112898017,-60.6751493376743
Las Flores,-36.0334705711249,-59.1233557076022
Leandro N. Alem,-34.4960522833256,-61.6416374677406
Lezama,-35.8617791887311,-57.9394065246162
Lincoln,-35.1203845829395,-61.8053893777346
Lobería,-38.0684036601792,-58.6897124072938
Lobos,-35.1906219666461,-59.1503357467775
Lomas de Zamora,-34.7535893569163,-58.4078671151409
Luján,-34.5897021282676,-59.1624613049919
Magdalena,-35.1867198897735,-57.6250095306554
Maipú,-36.8880254062215,-57.5903284625269
Malvinas Argentinas,-34.4843460527078,-58.7225401380692
Mar Chiquita,-37.5006514752177,-57.6326543329287
Marcos Paz,-34.8218757021866,-58.8349233605435
Mercedes,-34.6970092422638,-59.4320923153337
Merlo,-34.7106665113179,-58.7438338012748
Monte Hermoso,-38.9678323793106,-61.2730477975928
Monte,-35.4930329242716,-58.7556636141669
Moreno,-34.5955552435765,-58.802982865735
Morón,-34.6462822429202,-58.619489323543
Navarro,-35.0384409686152,-59.4134012109643
Necochea,-38.173759735739,-59.1108537462504
Olavarría,-36.8568087912408,-60.7165395996859
Patagones,-40.1794272482489,-62.8606086877045
Pehuajó,-35.8949468421481,-61.9878524117814
Pellegrini,-36.1407776851211,-63.2273328873577
Pergamino,-33.8639158299664,-60.581447361392
Pila,-36.2168681841365,-58.3918513684563
Pilar,-34.439472168673,-58.8983607321771
Pinamar,-37.1084927495227,-56.8688084578866
Presidente Perón,-34.9389380083642,-58.4115343571375
Puán,-38.0742567754881,-63.0581665630015
Punta Indio,-35.455963193982,-57.450835252175
Quilmes,-34.737981049426,-58.2730072481717
Ramallo,-33.588819410449,-60.0372266774711
Rauch,-36.6012227560864,-58.9169997290374
Rivadavia,-35.5788786154685,-63.0210998159398
Rojas,-34.1955923641363,-60.722961498113
Roque Pérez,-35.5183964239434,-59.2324050737161
Saavedra,-37.7230698569552,-62.4224563053055
Saladillo,-35.6725284604106,-59.6582783378295
Salliqueló,-36.6929215625922,-63.0198305755983
Salto,-34.24631936348,-60.3015244138341
San Andrés de Giles,-34.4336190533642,-59.4802396538043
San Antonio de Areco,-34.2092496331904,-59.5682807612893
San Cayetano,-38.4020312327854,-59.6297996198462
San Fernando,-34.160473672283,-58.559288720159
San Isidro,-34.4862970911441,-58.5368120756642
San Miguel,-34.5545834364144,-58.7059784000203
San Nicolás,-33.4698060658351,-60.2923563088428
San Pedro,-33.7995315615687,-59.818966629613
San Vicente,-35.0774617373411,-58.4186059563996
Suipacha,-34.7360300109897,-59.7123283450086
Tandil,-37.2918903625343,-59.2381836227991
Tapalqué,-36.3670981437311,-60.2244193833771
Tigre,-34.3985003615109,-58.609368261402
Tordillo,-36.4119720277659,-57.2213368820694
Tornquist,-38.2635075038085,-62.1863093528582
Trenque Lauquen,-36.0920017242137,-62.6424511648914
Tres Arroyos,-38.472268616492,-60.2678776960123
Tres de Febrero,-34.6014083588854,-58.5637248999935
Tres Lomas,-36.4900135652176,-62.8771704257533
Vicente López,-34.5272688983062,-58.5072375434341
Villa Gesell,-37.3621277462409,-57.0604817595912
Villarino,-39.1414748001407,-62.8606086877045
Zárate,-34.0063416358159,-59.1460474396042
