Edad, Ayacucho, Balcarce, General Alvarado, General Guido, General Juan Madariaga, General Lavalle, General Pueyrredón, La Costa, Lobería, Maipú, Mar Chiquita, Necochea, Pinamar, San Cayetano, Tandil, Villa Gesell
00_09,3435,6500,7280,414,3734,803,90632,12271,2705,1574,3826,14168,5552,1205,20212,6442
10_19,3205,6479,6678,418,3494,701,89628,11684,2722,1516,3733,13940,4426,1236,19385,5828
20_29,2686,6027,5582,392,2725,584,90052,9381,2182,1288,3227,11577,4412,1064,20176,5052
30_39,2611,6064,5929,342,2710,601,87764,10109,2222,1281,3343,12313,5041,1152,19904,5553
40_49,2690,6032,5703,385,2789,584,86948,10161,2577,1283,3152,12688,4272,1178,18077,5107
50_59,2153,5033,4460,304,2140,425,72319,8871,1982,1105,2713,10416,3332,989,14385,4005
60_69,2078,4375,4104,305,1898,420,64249,8310,1697,1141,2622,9716,2443,894,12799,3376
70_79,1461,3291,2786,217,1349,237,47136,5641,1338,700,1893,7118,1471,678,9053,1857
80_,972,1891,1628,115,757,103,27727,2128,855,500,835,4058,634,401,5308,814
Total,21291,45691,44149,2892,21596,4459,656456,78554,18281,10388,25344,95995,31584,8797,139300,38034
