Fecha,R0,Beta,Gamma,S,I,R,Ia,Confirmados
2020-03-03,2,0.1428,0.0714,44000000,1,0,1,1
2020-03-04,2,0.1428,0.0714,,,,,1
2020-03-05,2,0.1428,0.0714,,,,,1
2020-03-06,2,0.1428,0.0714,,,,,3
2020-03-07,2,0.1428,0.0714,,,,,9
2020-03-08,2,0.1428,0.0714,,,,,12
2020-03-09,2,0.1428,0.0714,,,,,17
2020-03-10,2,0.1428,0.0714,,,,,19
2020-03-11,2,0.1428,0.0714,,,,,21
2020-03-12,2,0.1428,0.0714,,,,,31
2020-03-13,2,0.1428,0.0714,,,,,34
2020-03-14,2,0.1428,0.0714,,,,,45
2020-03-15,2,0.1428,0.0714,,,,,56
2020-03-16,2,0.1428,0.0714,,,,,65
2020-03-17,2,0.1428,0.0714,,,,,78
2020-03-18,2,0.1428,0.0714,,,,,97
2020-03-19,2,0.1428,0.0714,,,,,128
2020-03-20,2,0.1428,0.0714,,,,,158
2020-03-21,2,0.1428,0.0714,,,,,225
2020-03-22,2,0.1428,0.0714,,,,,265
2020-03-23,2,0.1428,0.0714,,,,,301
2020-03-24,2,0.1428,0.0714,,,,,385
2020-03-25,2,0.1428,0.0714,,,,,502
2020-03-26,2,0.1428,0.0714,,,,,589
2020-03-27,2,0.1428,0.0714,,,,,690
2020-03-28,2,0.1428,0.0714,,,,,745
2020-03-29,2,0.1428,0.0714,,,,,820
2020-03-30,2,0.1428,0.0714,,,,,966
2020-03-31,2,0.1428,0.0714,,,,,1054
2020-04-01,2,0.1428,0.0714,,,,,1133
2020-04-02,2,0.1428,0.0714,,,,,1265
2020-04-03,2,0.1428,0.0714,,,,,1353
2020-04-04,2,0.1428,0.0714,,,,,1451
2020-04-05,2,0.1428,0.0714,,,,,1554
2020-04-06,2,0.1428,0.0714,,,,,1628
2020-04-07,2,0.1428,0.0714,,,,,1715
2020-04-08,2,0.1428,0.0714,,,,,1795
2020-04-09,2,0.1428,0.0714,,,,,1894
2020-04-10,2,0.1428,0.0714,,,,,1975
2020-04-11,2,0.1428,0.0714,,,,,2142
2020-04-12,2,0.1428,0.0714,,,,,2208
2020-04-13,2,0.1428,0.0714,,,,,2277
2020-04-14,2,0.1428,0.0714,,,,,2443
2020-04-15,2,0.1428,0.0714,,,,,2571
2020-04-16,2,0.1428,0.0714,,,,,2669
2020-04-17,2,0.1428,0.0714,,,,,2758
2020-04-18,2,0.1428,0.0714,,,,,2839
2020-04-19,2,0.1428,0.0714,,,,,2941
2020-04-20,2,0.1428,0.0714,,,,,3031
2020-04-21,2,0.1428,0.0714,,,,,3144
2020-04-22,2,0.1428,0.0714,,,,,3288
2020-04-23,2,0.1428,0.0714,,,,,3435
2020-04-24,2,0.1428,0.0714,,,,,3607
2020-04-25,2,0.1428,0.0714,,,,,3780
2020-04-26,2,0.1428,0.0714,,,,,3892
2020-04-27,2,0.1428,0.0714,,,,,4003
2020-04-28,2,0.1428,0.0714,,,,,4127
2020-04-29,2,0.1428,0.0714,,,,,4285
2020-04-30,2,0.1428,0.0714,,,,,4427
2020-05-01,2,0.1428,0.0714,,,,,4531
2020-05-02,2,0.1428,0.0714,,,,,4679
2020-05-03,2,0.1428,0.0714,,,,,4782
2020-05-04,2,0.1428,0.0714,,,,,4886
2020-05-05,2,0.1428,0.0714,,,,,5020
2020-05-06,2,0.1428,0.0714,,,,,5208
2020-05-07,2,0.1428,0.0714,,,,,5371
2020-05-08,2,0.1428,0.0714,,,,,5611
2020-05-09,2,0.1428,0.0714,,,,,5776
2020-05-10,2,0.1428,0.0714,,,,,6034
2020-05-11,2,0.1428,0.0714,,,,,6278
2020-05-12,2,0.1428,0.0714,,,,,6563
2020-05-13,2,0.1428,0.0714,,,,,6878
2020-05-14,2,0.1428,0.0714,,,,,7133
2020-05-15,2,0.1428,0.0714,,,,,7478
2020-05-16,2,0.1428,0.0714,,,,,7805
2020-05-17,2,0.1428,0.0714,,,,,8068
2020-05-18,2,0.1428,0.0714,,,,,8371
2020-05-19,2,0.1428,0.0714,,,,,8809
2020-05-20,2,0.1428,0.0714,,,,,9283
2020-05-21,,,,,,,,9931
